[2021-01-12 11:28:34]INFO:Read handle: serve data /edu/umass/bunny_4219897bps/bunny_4219897bps_BigBuckBunny_2s3.m4s/seg=66
[2021-01-12 11:28:34]INFO:Read handle: serve data /edu/umass/bunny_4219897bps/bunny_4219897bps_BigBuckBunny_2s3.m4s/seg=67
[2021-01-12 11:28:34]INFO:Read handle: serve data /edu/umass/bunny_4219897bps/bunny_4219897bps_BigBuckBunny_2s3.m4s/seg=68
[2021-01-12 11:28:34]INFO:Read handle: serve data /edu/umass/bunny_3526922bps/bunny_3526922bps_BigBuckBunny_2s3.m4s/seg=2
[2021-01-12 11:28:34]INFO:Read handle: serve data /edu/umass/bunny_3526922bps/bunny_3526922bps_BigBuckBunny_2s3.m4s/seg=3
[2021-01-12 11:28:34]INFO:Read handle: serve data /edu/umass/bunny_3526922bps/bunny_3526922bps_BigBuckBunny_2s3.m4s/seg=4
[2021-01-12 11:28:34]INFO:Read handle: serve data /edu/umass/bunny_3526922bps/bunny_3526922bps_BigBuckBunny_2s3.m4s/seg=5
[2021-01-12 11:28:34]INFO:Read handle: serve data /edu/umass/bunny_4219897bps/bunny_4219897bps_BigBuckBunny_2s3.m4s/seg=69
[2021-01-12 11:28:34]INFO:Read handle: serve data /edu/umass/bunny_4219897bps/bunny_4219897bps_BigBuckBunny_2s3.m4s/seg=70
[2021-01-12 11:28:34]INFO:Read handle: serve data /edu/umass/bunny_4219897bps/bunny_4219897bps_BigBuckBunny_2s3.m4s/seg=71
[2021-01-12 11:28:34]INFO:Read handle: serve data /edu/umass/bunny_4219897bps/bunny_4219897bps_BigBuckBunny_2s3.m4s/seg=72
[2021-01-12 11:28:34]INFO:Read handle: serve data /edu/umass/bunny_4219897bps/bunny_4219897bps_BigBuckBunny_2s3.m4s/seg=73
[2021-01-12 11:28:34]INFO:Read handle: serve data /edu/umass/bunny_4219897bps/bunny_4219897bps_BigBuckBunny_2s3.m4s/seg=74
[2021-01-12 11:28:34]INFO:Read handle: serve data /edu/umass/bunny_4219897bps/bunny_4219897bps_BigBuckBunny_2s3.m4s/seg=75
[2021-01-12 11:28:34]INFO:Read handle: serve data /edu/umass/bunny_4219897bps/bunny_4219897bps_BigBuckBunny_2s3.m4s/seg=76
[2021-01-12 11:28:34]INFO:Read handle: serve data /edu/umass/bunny_2484135bps/bunny_2484135bps_BigBuckBunny_2s3.m4s/seg=0
[2021-01-12 11:28:34]INFO:Read handle: serve data /edu/umass/bunny_2484135bps/bunny_2484135bps_BigBuckBunny_2s3.m4s/seg=1
[2021-01-12 11:28:34]INFO:Read handle: serve data /edu/umass/bunny_4219897bps/bunny_4219897bps_BigBuckBunny_2s3.m4s/seg=77
[2021-01-12 11:28:34]INFO:Read handle: serve data /edu/umass/bunny_4219897bps/bunny_4219897bps_BigBuckBunny_2s3.m4s/seg=78
[2021-01-12 11:28:34]INFO:Read handle: serve data /edu/umass/bunny_4219897bps/bunny_4219897bps_BigBuckBunny_2s3.m4s/seg=79
[2021-01-12 11:28:34]INFO:Read handle: serve data /edu/umass/bunny_3526922bps/bunny_3526922bps_BigBuckBunny_2s3.m4s/seg=6
[2021-01-12 11:28:34]INFO:Read handle: serve data /edu/umass/bunny_3526922bps/bunny_3526922bps_BigBuckBunny_2s3.m4s/seg=7
[2021-01-12 11:28:34]INFO:Read handle: serve data /edu/umass/bunny_4219897bps/bunny_4219897bps_BigBuckBunny_2s3.m4s/seg=80
[2021-01-12 11:28:34]INFO:Read handle: serve data /edu/umass/bunny_3526922bps/bunny_3526922bps_BigBuckBunny_2s3.m4s/seg=8
[2021-01-12 11:28:34]INFO:Read handle: serve data /edu/umass/bunny_3526922bps/bunny_3526922bps_BigBuckBunny_2s3.m4s/seg=9
